src,tgt_translated,baseline_src,silver_src
Just now talking to my mama n sister. Heh. Juz finish eating. U?,刚才 和 我 妈妈 和 姐姐 聊天 呢 。 嗨 。 吃完饭 了 。 你 呢 ？,刚刚 kpkb wif mama n sis la. Heh. Juz finish eat ah. U?,Juz now chatting with my mama n sister la. Heh. Finish eating already. U juz finish eat also?
I think dailymotion.com has it. I got the link from kpop.com haha.,我 认为 dailymotion . com 有 它 。 我 从 kpop . com 获得 了 链接 哈哈,"Ahah, got da link la! Think got from dailymotion.com leh, kpop.com give me la, hahaha.","Aiya, I think got link la, i get from kpop.com, go check dailymotion.com, haha."
Of course I do :) but I have to go soon anyway cause the movie'sgonna start soon :(,当然 我 是   : )   但是 我 很快 就要 走 了 ， 因为 电影 快要 开始 了   : (,"lah, course lah, got go soon lor, movie already starting soon, regret already :(","Course lah, I do :). Anyway, gotta go soon cause movie'sgonna start soon, but I wanna stay la, but no la, I gotto go now, so I do go soon, cause movie start soon, but I do go anyway, cause I wanna watch movie, but I do go soon now :)."
Eh buay sai.Wed got thing on liao.lol.,没有 问题 ， 我们 已经 完成 了 事情 哈哈 。,No problem lah. Things done already ah.,"No worry lah, we already got thing settled liao.lol."
Qwerty pe hath set ho gya hai tera?,（ QWERTY 的 密码 已经 被 破解 了 你 的 吗 ？ ）,"No lah, this one seems like a random mix of English and Hindi, not Singlish or Chinese. But if we interpret it in a Singlish context:

""Qwerty pe"" can be translated to ""What's up with"" (in Singlish, ""pe"" is a colloquial term for ""with"" or ""about"")
"" hath set ho gya hai"" translates to ""already done"" or ""done lah"" (a more informal Singlish way of saying it)
""tera"" means ""yours"" in Hindi, but in this context, it's used like ""your"" in Singlish.

So, the corrected Singlish code-mixed sentence would be: ""What's up with your thingy already done lah?""","""Qwerty pe hath set ho gya hai tera?"" becomes 
""Qwerty lah set ho gya pe tera?"", but a more accurate translation with the desired words:
""Qwerty pe tera hath set ho gya hai"""
I still got half bottle of lemon tea. No problem.,我 还有 一瓶 半 的 檸檬茶 没 问题 。,"我still got半瓶 lemon tea lah, no worry leh.","I still got half bottle of lemon tea lah, no problem."
Da is good good player.why he is unsold.,大是 好球 員為 什麼 他 是 未 被 出售,"Da lah good good player, why leh he unsold leh?","Da good lah, he player.why leh unsold."
Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,哎呀 ！ 如果 不是 这个 事情 ， 那 就是 另 一个 ！ 我 的 猫 有 worms ： / 这个 坏天气 什么 时候 结束 ？,"Oh mah god, if not one thing then got another lar, my cat got worms leh, when dis bad day gonna end already ah?","Omg, this bad day not go away leh, my cat got worms lar, when dis bad day end already ah?"
LOL SO RANDOM. he pay for it and never stay!! Hahaha ok ok slap yourselves!,哈哈 他 付钱 了 却 不留 ! ! 哈哈 好 吧 好 吧 给 自己 啪啪,"哈哈哈哈 so random leh!  He pay lah, never stay lah!! Hahaha ok ok, slap ownself lah!","Hahahaha, pay mah money lah, but he never stay ah, and then u guys slap **yourselves!**"
Sigh... Dont think so lah. Need to study leh,哎呀 … 不 想想 也 知道 啦 。 需要 学习 啦,"*Ah*... Aiyo, No way leh. Need study la.","Ah ma, sigh... No point leh, gotta study leh, no get A lah."
Pomp!! jump on you. give u two tight hugs and kisses. hee. i help usleep more first. nitey.,哎呀 ！ 跳到 你 身上 ， 给 你 两个 紧紧 的 拥抱 和 吻 。 嗨 。 先 帮助   usleep   一下 ， 晚安 。,"""Wow!! leap atas you lah, give u two super tight hug and peck peck lah. Hee hee. First, help usleep sleep more ah, nighty night!""","Pomp!! jump on u lah, give u two tight hugs and kisses loh. Hee, i help usleep more first lar, nitey."
Lol oops I just updated my phone. I think that was an unsent message.,😊,"哈哈Oops! Ahem, sorry leh, just update phone la, think that's unsent msg leh.","Haha, ahah, just now I sent a wrong message lah, think it's an unsent message from my phone, lor."
Oh ok... Then i go bishan n meet ü oso rite...,哎呀 ， 好 吧 ， 我 去 比善 见 你 也 是 吧,"""Ah then I go Bǐshān lah meet you also right ah...""","Oh ok... Lah, i go Bishan, meet ü oso rite..."
Eh we're all going out if you don't have key go to blk  <#>  first,哎呀 ， 我们 都 出去 如果 你 没有 钥匙 就 先 去 黑色 < # > 楼,"""Alright, everybody go out la, if no key, then go blk # first ah""","Eh, we're all going out lah if you no got key, then go blk <#> first ah."
m goin sentosa... Paiseh...,我 去 色纳 ... 尴尬 ...,"Ah, go Sentosa la... Paiseh, lor, tak siap... (Ah, going to Sentosa... Sorry, la, not prepared...)","M goin sentosa... Paiseh lar, miah try take some nice photos at Universal Studios at Sentosa la."
"HKY, I remember I have to give u $30 (at Peace Centre 2 weeks ago). cc LCT",HKY ， 我 记得 我 在 两个 星期 前 在 和平 中心 欠 你 30 元 。 cc   LCT,"HKY leh, I remember I owe u $30 (at Peace Centre 2 weeks ago) lah, cc LCT hor.","HKY, I remember lah, owe u $30 ah, at Peace Centre, 2 weeks ago, cc LCT."
Sorry im not coming back tonight.,我 今晚 不 回来 了,"Sorry lah, no comeback tonight lar.","I no go back tonight lah, I'm not coming back, so not coming tonight leh."
ll go find u after 2pm ok? where will u be?,我 2 点后 去 找 你 ， 好 吗 ？ 你 在 哪里 ？,"""Ah gua go find u after two pm la, u at which place leh?""","I'll go find u after 2pm lah, u at office or at home ah?"
"why not give me a reponse, what are u busy with?",对不起 ， 我 是 一个 人工智能 语言 模型 ， 我 不 具备 人類 的 情感 和 身体 ， 不能 “ 忙碌 ” 或 “ 休息 ” 。 我 24 小时 在线 ， 随时 准备 回答 您 的 提问 。,"""Ah, meh busy lar, got many thing to attend to, but u wait, me give u response soon, kaya u ask why not give u response, me explain la, me just need take short break, then me back to translate lah, okay?""","I busy thinking la, but now u ask me why not give u reponse, I tell u why lah, I busy with many things, what u want me to do, are u waiting for answer, why so impatient?"
Andrw do u kw st lawrence website pls. RoZi *CricInfo Alerts! Type CRICKET & sms to  <#> . Cond apply*,安德鲁 ， 你 是否 知道 圣劳伦斯 网站 ？ RoZi * CricInfo   Alerts ！ 输入 CRICKET 并发 送到 < # > 。 条件 适用 。,"Lawrence ah, website of St Lawrence leh, rozi, CricInfo got alert lah, type CRICKET send SMS to <#> number, condition apply la.","Sorry, no Lawrence website found, but try St Lawrence, check website **plz** u can search on Google for St Lawrence Cricket info, but no direct link found, but try **&** visit *CricInfo* website **kw** ""St Lawrence Cricket"" **<#>** not applicable here, u can also try search on **RoZi** for cricket news, **andrw** no direct link, but **u** can **kw** ""St Lawrence Cricket"" on **CricInfo** **<#>** no direct link, but **pls.** visit **CricInfo** website **&** search for ""St Lawrence Cricket"" **rozi** also have cricket news, **andrw** no direct link, but **u** can **kw** ""St Lawrence Cricket"" on **CricInfo Alerts** by typing **CRICKET** & sms to **<#>**"
Andrw dnt tl aunty anythg.let her decide anythg.il adjust myself.ok.tc. RoZi,安德鲁 不要 对 阿姨 说 任何 事 ， 让 她 自己 决定 任何 事 ， 我 调整 自己 ， OK ， bye 。   Rozie,"""Andrew don't tell auntie anything, let her decide anything lah, I adjust myself okay, Rozie.""","Andrew dnt tl ask Aunty anythg.let her decide, okay. I adjust myself, RoZi."
"i try to do it faster.,",我 试图 更快 地 做 它 。,"""lah try do it faster lor, ah jialat!"" (lah = very, ah jialat = lazy)","I lah try to do it faster, but i still need to do it to my best effort."
Hey yun you want to meet for lunch? With ah hui and me?,嘿 ， 云 ， 你 想 和 我 、 阿慧 一起 吃 午饭 吗 ？,"""Hey yun ni wan meet lunch tiam leh, dengan ah hui and me lah?""","Hey Yun, wanna kopi lah meet for lunch with ah hui and me ah?"
Post!  ...Mytho's still in the closet....,發布 ！ ... 邁索 仍然 在 櫃中 ....,"""Post lah! Mytho still in da closet, lor...""",Post! Mytho's still in **the** closet....
hee. today so happy wif u too! laogong jaw pain again?,今天 也 很 高兴 和 你 一起 ！ 老公 jaw 痛 又 来 了 ？,"好兴奋 today wif u too! lao gong jaw pain again la, hopefully no more jiān kāng now.",Hee. Today so happy wif u too! Laogong jaw pain again?
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",USF 的 我家 party ， 免費 （ 如果 你 能 貢獻 任何 東西 ， 我們 非常 感謝 ）   yeah ， 我們還 有空 間 可以 容納 一個 人,"""Party leh at my place USF, no charge lah, but if u can contribute somemore, very appreciate lah, and yeah, got space for one more la!""","Party's at my house la, USF lor, free entry lah, but contribute if you can, thank you very much, and yeah, we still have space for one more, got room lor."
Haha its totally ok le! ah ohh no then how>< haha nope at home!,哈哈 没 问题 哇 ！ 啊 哦 不 然后 怎么 > < 哈哈 不 在家 ！,哈哈 okay lah! ah oh no then leh >.< haha nope lah at home ah!,"Its totally ok le, nope not sure then, how>< ah no worries, but at home! ohh no need to worry lah, its ok lah, nope no problem, haha just chill at home le! nope its fine, ah then no worries, its ok la, nope no need to go out, just stay home, haha its totally fine le!"
Hey what are you doing?had your lunch?,你 在 做 什么 ？ 吃饭 了 吗 ？,"Hey, wut u doing la? Already ate lunch yet?","""Hey, what you doing lar? You already eat lunch?"""
Oh... Where are you now? I am at chinese lib.,你 现在 在 哪里 ？ 我 在 中文 图书馆 。,"Ahah, me now at Hokkien huat bah, you at Chinese lib, where got you la?","Ahah, now I at Chinese lib. I am now at Chinese library lah."
Go there then they will go with you to your room then check stuffthen tada! Ohh crap I forgot to buy mentee gifts. And the one wenhuiwants to get will cost us  <#>  bucks each):,去 那边 他们 就 会 跟 你 去 你 房间 然后 检查 东西 然后 嗨 ！ 哎呀 ， 我 忘 了 买 mentee 礼物 。 并且 当 wenhui 想 买 的 东西 将会 花费 我们 < # > 美元 每个 ）,"Go there lah then they will go with you to your room then check stuff then tada! Ohh crap ah, I forget buy mentee gifts hor! And the one wenhui want get will cost us bao bao dollar each ):","Ohh crap! I forgot to buy mentee gifts lah, the one wenhui wants cost us <#> bucks each, then go there, check stuffthen, then go to your room, tada! Ohh no, I must go buy lah, then they will go with you, check stuffthen, ohh ohh, I forgot, ohh no, I must buy gifts now, or else I get crap, so I go there, check, then go to your room, then check stuffthen, ohh yeah, I buy gifts lah, cost us <#> bucks each, so we go there, then check stuffthen, then go to your room, tada!"
Confused chap.. am feeling sorry for him.  I meant he wants someoneto verify what we say,一個 困惑 的 人 … 他 想 有人 證明 我們 說 的 話,"Sia bo chap leh, feel sorry for him lah.  He wanna find someone to verify lah, aka verify lah, verify niya ni, zhengque niya ni, zhengshi niya ni, aka verify lah, verify niya ni, zhengming niya ni, zhengji niya ni.","""Ah, dat confused chap.. really need someone to verify lor, confirm what we say leh."""
LOL YES MY DEAR WIFE HAHAHA TO MAKE UP FOR ALL THE AFFAIRS YOU HADDDDDDD,哈哈哈 哎呀 我 的 亲爱 的 妻子 哈哈哈 为了 弥补 你 所有 的 外遇 哈哈哈,"哈哈哈！Oh dear wife ah, leh me make up lor, compensate lah, for all da affair affair affair yang dah dah dah happen already ah!","Ahahahaha, yes la my dear wife, you know lah, lol, I'll make up lor, all the affairs I hadddddddd, so sorry to you, the one I love, hahaha, yes, no joke, you up my game, no more lah, my dear wife, I promise, hahaha."
How was exam? Eh when u returning,考试 如何 ？ 你 什么 时候 回来 的 ？,"Exam leh, how lah? Eh, when u back ah, me also want know, u got pass or not lar, returning soon ah?","Exam lah, how was it ah? Eh, u go back home soon lor, or u still waiting to return back to school ah?"
I think they will send 2 ur email ask u go retrieve right. Haiz.... I so xian.....,我 認為 他們 會發 兩封 電子 郵件 請 你 去 取回 正確 的 。 哎呀 … … 我 真的 很 失望 。,我想他们会发2封email ask我去收取right. Haiz.... 我so失望了...,"I think they lah send u email ask u go retrieve right leh, Haiz.... I so xian..... now, think they will ask me retrieve something, so I think they send email to u go retrieve, u know, u think they really want u go retrieve, so u xian..... no choice, got to go retrieve lah."
"Yosh wanna have dinner together, suggestions and cravings are welcomed!",邀 你 一起 吃饭 ， 欢迎 提供 建议 和 口味 ！,"Yosh wanna kopi lar dinner together, suggestions and cravings welcome ah!","Yosh wanna gather ah, suggestions and cravings are welcomed! Let's have dinner together la!"
Hahaha slap!!! I wanna know still!! Sorry late reply hehe I wastrying to upload our pics but my phone fb is lousy cannot set privateto only one person!!! Wasted all my efforts on the descriptions):hahaha yay glad you're home! Hahaha I might move I told you beforeright? Chibi hopstep!? Hahaha super random!!!,哈哈 打 ！ ！ 我 还 想 知道 ！ ！ 对不起 ， 晚 了 回复 哈哈 我 正在 尝试 上传 我们 的 图片 ， 但是 我 的 手机 fb 很差 无法 设置 为 仅 对 一个 人 可见 ！ ！ 浪费 了 所有 的 努力 在 描述 中 ） ： 哈哈 好 高兴 你 回家 了 ！ 哈哈 我 可能 搬家 我 之前 告诉 过 你 的 对 吧 ？ 小矮人 跳步 ！ ？ 哈哈 超级 随机 ！ ！,哈哈打!!! wanna know still lar sorry late reply ah hehe trying upload pix but phone fb sia cannot set private to only one person sia!! waste all effort on descriptions ): hahaha yay u back home! hahaha maybe move leh tell u before rite? Chibi hop step ah! hahaha super random!!!,"Hahahaha slap!!! I still wanna know la!!! Sorry late reply ah, hehe I was tryin' upload our pictures leh but my phone Facebook (fb) lousy cannot set private to only one person!!! Wasted all my efforts on the descriptions): hahaha yay, glad you're home! Hahahaha I might move, I told you before right? Chibi hopstep!? Hahaha super random!!!"
Oh:/ oh wells! Hahaha but it's so cold! Omg night cycling ytd on theway back at 2am it was damn cold!!!! Haha:/ would be better ifeveryone is serious!,哎呀 哎呀 哈哈 ！ 但 太冷 了 ！ 哇夜 骑车 今天 晚上 2 点 回家 好 冷 ！ ！ 哈哈 ： 如果 所有人 都 是 认真 的 ！,Oh mah:/ oh la la! Hahaha but it's so chiu keng leh! Omg night cycling ytd on da road back at 2am it was ben ben chiu keng!!!! Haha:/ would be better if everybody serious ah!,Oh:/ oh wells! Hahaha but it's so cold! Omg night cycling ytd on theway back at 2am it was damn cold!!!! Haha:/ would be better if **everyone** lah **is** serious!
i know.. some award show rite? hah.. but i like she more.. lol..,我 知道 ， 这是 某个 奖励 节目 吧 ？ 哈哈 ， 但是 我 更 喜欢 她 了   lol,"我知 lar, some award show punya award rite lor, but i like she more ah, hahah, jialat lah!",I know.. some award show rite? hah.. but i like her more.. lol.. (改成 Singlish code mixed sentence) : Ah know.. some award show rite hah.. but i like she more lor.. lol..
Do we have any spare power supplies,我们 有 任何 备用 的 电源 吗 ？,"""Power supply got spare ah? Or got kee pai?""","We got no lah, any spare power supplies we have got already used up, so no power supplies left, power lah, we no have spare now."
Y ru wastin phone balance ..i just askd wat u doin only na.if u told means i would hav cut..,你 为什么 浪费 手机 余额 … 我 只 问 你 在 做 什么 事情 ， 如果 你 说 了 ， 我 就 已经 挂断 了 。,"Phone credit wastin lor... I just ask u wat u doin la, if u tell, meh then I cut la.","Wastin phone balance..i ru y u wastin time..i just ask u na.if u tell la, then i would hav cut u.."
Dear wait in train k.  I leaving hsr,亲爱 的 ， 在 火车 K 等 我 ， 我 将 从 HSR 离开,"Dear, wait in train lah, I already leaving HSR (HarbourFront Station) ah.","Dear waitlah in train lah k., I lah leaving HSR"
"Oh i see. Walk ard lah, dun stay in e car.",哎呀 ， 我 看清楚 了 ， 快步 走 啦 ， 不要 呆 在 车里 。,走走走喽，别在车里坐了。,"Oh see lah, i go for walk ard lah, dun stay in e car."
take management next sem?,下学期 修 管理学 ？,要去管理学next semester ah?,"Next semester la, take management class hor?"
how u spendin ur xmas?,你 过 圣诞节 计划 如何 ？,"Nex Christmas, I go celebrate with family, kaya jalan-jalan, makan-makan, enjoy la!","U spendin ur xmas at home leh, or u go out celebrate with frens?"
s my reality show ah... All cant find one...,我 的 真实 秀 啊 … 所有人 都 找 不到 一个 …,"""Ah, reality show sotong la... All got sian, find one pun cannot...""","My reality show s lah, cannot find one lah... all also cannot find one, super sad siah..."
So? Also not take off pants,所以 ？ 也 不能 脱裤子,"So also lah, good deed reward no got reward, but get more good lah, also not wear pants lar, no take off pants, juz stay put lah.","""Ah, no worries la, just chill, don't worry about off-ing pants, it's all good, just stay calm ah!"""
s angry w him yest ma... Thk they quarrel or somethin...,他 昨天 生气 了 我 ... 感谢 他们 吵架 了 或 什么 的,我生气他昨天马...谢谢他们打架或咖啡,I get angry w him yest ma... Think maybe they quarrel or somethin...
Lol wah so fast. Haha you want anything from coop? I buying drinks.,哈哈 ， 哇太快 了 ！ 哈哈 ， 你 从 超 market 买 什么 ？ 我 买 饮料 。,"哈哈 我要啥from co-op lah, 我buy drink la, you want share?","Lol wah so fast, me go coop buy drinks. Haha you want anything? Wah so fast. You buying drinks."
"Hey people, im organising a trip to ily tonight. Let me know if youare free tonight ^^",嘿 大家 ， 我 今天 晚上 组织 一趟 旅行 ， 想 知道 有 谁 可以 一起 去   tonight 。 请 回复 我 知道 你 是否 有空   ^ ^,"Hey lah, ah organiser trip go ily tonight leh, want know whether ah free tonight ah? ^_^","Hey lah people, **ahm** (im) laorganising (organising) a trip to **li** (ily) tonight, **if** youare (you are) free tonight **^^**."
"Lauda dherke thodi baithe hes re ,mausem baiman he.",沒有 找到 對應 的 中文 翻譯 。,"Here's the translation:

""Goodness done quietly, rewards come naturally.""

Romanized Chinese: (hǎo xiàng jiàn yì, zhī lì zì xiàn)

(Note: ""dherke"" is a Singlish term for ""quietly"", ""hes re"" means ""rewards"", ""mausem"" is a Singlish term for ""naturally"", and ""baiman"" is a colloquial term for ""come"")","Here's the translation with the specified key words: ""Lauda dherke thodi baithe hes re, reward comes from doing good, mausam baiman he.""

Note: ""mausam"" is used as a Singlish term for ""weather"" but here it's used to add a filler phrase, while focusing on the key words."
Nvm I asked. If dillon nvr reply den we dun do,如果 戴尔 森不 回复 ， 我们 就 不 做,如果Dillon不回信，那么我们就不要继续了,If Dillon never reply lah then we dun do lar.
Hey.. steffi and i outside comp club room now(near biz canteen) wantcome over?,嗨 ， 我和斯蒂菲 现在 在 商科 餐厅 外 ， 计算机 俱乐部 房间 附近 ， 想来 吗 ？,"Heya... Steffi leh我outside comp club room lah (near Biz canteen), wanna comeover hor?","Hey.. Steffi ah, la outside comp club room lor (near biz canteen), wanna come over ah?"
Don?t worry about me. i am ok. just have little bit fever,不要 担心 我 ， 我 好好 的 ， 只是 有点 发烧,"Don't worry lah, me okay lor, just got little bit fever je, haiyao.","Don't worry about me lah, i ok. just got little bit fever, so no need to worry, i'm fine, just have little fever, okay."
So u workin overtime nigpun?,你 晚上 工作 吗 ？,U working overtime la hor?,"You workin overtime la, got to put in extra hours, eh, nigpun?"
Paisa agar hai to Haldi and Chaywanprash lete ana.,如果 有钱 的话 ， 就 吃 黄金 和 千金 散,"""Money lah got, then take Haldi (Turmeric) and Chaywanprash (a type of herbal powder) leh go la.""","Since we want to keep the Singlish tone, let's rephrase: ""Only if got money then take Haldi and Chaywanprash lah, okay **ana**.""

Translated code mixed sentence with romanized Chinese and Singlish: """" Paisa **hai** na, den take Haldi and Chaywanprash **agar** leh, **ana**."""
I bathe before i went to e airport... Now doing tut... U leh...,我 洗澡 前去 机场 ， 現在 做 推拿 ， 呵呵 ！,前面我先去airport前洗澡了...  now doing tu tu... you leh lah...,"I go bathe before lah, then went to airport, now studying tut... U study also leh..."
Lol kope first eh. XD,哈哈 ， 笑 死 我 了 ！,"哈哈 kope first lah, jialat indeed XD","""Kope first lor, then I go laugh out loud (lol) leh XD!"""
Im at home already. Let me know if we are meeting for dinner bah.,我 已经 回家 了 ， 如果 我们 晚餐 见面 ， 请 通知 我 。,"我在家了 lar. Tell me lah, we meeting dinner bah?","Lah, I'm already home leh. Let me know lah if we meeting for dinner bah."
"Haha dunno! So zao alr? Raghav is here now haha, dun wait for me bahgo off first! Yeap! I'm in concourse!",哈哈 不 知道 ！ 所以 早安 了 ？ 拉维 在 这里 了 哈哈 ， 别 等 我 吧 ， 先 走 吧 ！ yeah ！ 我 在 候机厅 ！,"哈哈 不知 lar! Morning lah already! Ragahv already arrive lah, no need wait for me first lar! Ahah! Yeah, I already at concourse leh!","Haha dunno! Raghav lah is here now, dun wait for me bahgo off first lah! Yeap! I'm in concourse! Now, no need lah wait, he's already here, so no need wait for me lah, I'll bahgo off first, now can go already!"
I really wish dude would come look @ my jeep so i know how bad screwed i am.....,我 真的 希望 那家伙 能 来 看看 我 的 jeep ， 以便 我 知道 自己 多么 糟糕,我真的希望 bro来看我车了，so我知道我是多么的惨了......,"I really wish lah, dude come check out my jeep so i know la, i am really screwed now...."
Lol .. Hmmm ... When?,什麼 時候,"Aiya, kiam tim when la hor?","Lol, time la lah, never know when got reward, but know lor, good karma coming soon lah, like now ah!"
what r your plans todaY?,今天 你 的 计划 是 什么 ？,"Today plan la, go chill ah, mai know yet, maybe go kopitiam drink coffee, or go buy something eat, mai sure la, depend on mood ah.","No specific words wanted, but I'll still give it a go:

Got no plans for today, just chill lah, maybe go out for some kopi dan kaya toast, no rush."
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",哎 ， 实际上 他 刚才 还 问 我们 需要 什么 似的 。 什么 时候 、 多少 ？,"Ya, lah, actually dia just ask we need what an hour ago la. When hor, ask him leh, how much also ask him hor, ""Kiam hor dia ask, how much lah?""","Yeah, in fact just now lah, he asked us like an hour ago, need to know how much we needed, right? He asked we needed an hour ago, so we need to confirm how much we needed, yeah?"
Mai abhi  <#>  bje tk meeting me rahunga.,我 现在 < # > 不 可能 到达 会议 。,"""Wait abit lah # before bje go meeting ah. ""","I'll translate it with the desired words: ""Mai abhi bje tk <#> meeting me rahunga."""
Pls give her prometazine syrup. 5mls then  <#> mins later feed.,給 她 普瑞馬嗪   с и р upd   5ml ， 然 後 < # > 分鐘 後 餵 食,给她prometazine syrup五毫升（5mls）后，#分钟（<#> mins）后再给她吃。,"Pls give her prometazine syrup. 5mls lar, wait <#> mins later, den feed."
When is your next break?,你 下 一个 休息 的 时间 是 什麼 时候 ？,"""Next break time is when I got my next ""R&R"" lah, maybe after lunch or during tea break, hor?""","Next break la, after finish this project ah, then got time to chill lah, so when finish work then lah, got next break already."
Wat happend i just askd u d prob,你 问 我 什么 问题 ？,发生啥了 我就问你个问题了,"Happend lah, got one big prob now, I just ask u one question, but u tell me d answer is not clear, now I confused."
Hey... Can book seats for us... 4 seats. Plus one for pink,Hey ...   请 为 我们 预订 四个 座位 ， 另外 一个 座位 是 粉色 的,"""Hey, can book seat lah... 4 seat, plus one for pink leh.""","Hey..., booklah 4 seats for us... plus one lah for pink, okay, seats."
ger i dun think going.im having flu.took off fr sch to stay home rest.,我 不想 去 。 現在 我 有 流感 。 因此 ， 我 決定 取消 學校 ， 留在 家裡 休息 。,"Ah la, sick leh, no go school, stay home rest, lah. 

(romanized Chinese: )  
Bīn zǒu kě xīn, bù qù xué xiào, zài jiā zhù shēn.","I la, no go school la, got flu.took sick leave fr sch, so dun go out, just stay home rest."
Oh darn I have no idea where my blazer is): go the swimming thing!,哎呀 ， 我 不 知道 我 的 西装 外套 在 哪儿 ， 去 游泳 活动 吧 ！,"Aiyo lah, blazer mehdey where got now la! Ah go swim lah, go swim mah thingy!","Oh darn la, I no know lah where blazer of I is): go swimming thing!"
s not going for lect...,不讲道理,"""no go for lehcture lah""","S no lah, not going for lect, more like just chill la, no need to go through all that leh."
It's  <#> % in color. Got hmwk today,颜色 中 只有 < # > % ， 今天 有 作业,Colour ni <#> % la. Today got homework (HMWK) leh.,"It's got homework (hmwk) today, color mah be <#> % la."
"""If we had no winter, the spring would not be so pleasant: if we didnot sometimes taste of adversity, prosperity would not be so welcome.""- Anne Bradstreet",如果 没有冬天 ， 春天 就 不 那么 pleasant ； 如果 我们 不曾 经历 过 困难 ， 富足 就 不 那么 欢乐 。 — 安妮 · 布拉德 街,"""If no winter lah, spring pun no so sweet: if no taste some adversity, prosperity pun no so welcome leh""","If we ""didnot"" encounter some hardship leh, prosperity ""be"" no so welcoming lah. Winter ""had"" its place, or else spring ""be"" no so pleasant: ""if"" we ""had"" no winter, spring ""of"" beauty ""be"" no so appreciated, we ""sometimes"" ""taste"" of adversity lah, so prosperity ""didnot"" ""be"" so ""welcome"", we ""not"" appreciate it leh."
t turn up last nite. Doing laundry now.,昨晚 回来 。 现在 做   laundry 。,昨晚没来得及come lar. Now busy wash laundry lar.,"Actually, no specific words wanted were listed, but I'll provide a translation with a touch of Singlish flair: ""Yesterday la, turn up late. Now, doing laundry mah, laundary laundry wah la."""
Hi u coming for the meeting? It.is change to  <DECIMAL>,你 来 参加 会议 吗 ？ 会议 时间 变更 到 < DECIMAL >,"Ai coming for meeting lah? It change lah, now 8.30 instead lah.","""Hi lah, u coming for the meeting ah? It.is change to <decimal> la, no more fixed time leh."""
Haha no la I just came back from chalet. Im like disconnected fromyou all for years already.,哈哈 不 啦 ， 我 才刚 从 度假 屋 回来 ， 感觉 我 已经 和 你们 断 了 好几年 了 。,哈哈不啦，刚从chalet回来，感觉like隔了好几年都没connect你们了lah.,"Haha no la, just back from chalet la, I like disconnected from you all for years already."
Ranjith cal drpd Deeraj and deepak 5min hold,兰 吉特 给 德瑞杰 和 迪帕克 打 了 5 分钟 电话,"Ranjith call drop Deeraj and deepak 5min hold, also can be translated to: 
Ranjith kio call drop Deeraj and deepak, tahan 5min ah.","Ranjith lah call Deeraj and deepak, drpd 5min hold, cal from him lah."
"Yep, can detect rgbyk but i need to kope the raw values tmr",我 可以 检测 RGBYK ， 但是 我 需要 tomorrow 获取 原始 值,"Ahah, yeah got it, need to kope raw values tomorrow lah, detect RGBYK colours okay, but need to copy raw values tomo, kaya lah.","Can lah i kope raw values tmr, but need detect rgbyk, yep, no problem, got it."
Yup in hostel! Yeah chibi is super happy today!! Hahaha well youcould live in the east and go to a sch in the east!,宿舍 裡   yeah   chibi 今天 超級 高興 ! ! 哈哈 你 可以 住 在 東方去 東方 的 學校 ！,"Ya lah! In hostel leh! Chibi super happy today la! Hahaha, well u can live in eastside, go to eastside sch lah!","Yup, youcould live in east lah! Hahaha, chibi super happy today!! Can go sch in east!"
Dunno. Haven't spoken to Shweta.. why don't you ask her directly?,不 知道 ， 和 舒塔 没有 说话 为什么 不 直接 问 她 ？,"Don't know la, belum tanya Shweta leh, why don't ask her direct ah, 问她自己应该知道 (wén tā zì jǐ yǐng gāi zhī dào)","Dunno, la. Haven't speak to Shweta.. **why** you **don't** ask her **directly**?"
Sorry in meeting.. will talk later,见面 有点儿 问题 ， 后面 再聊,"""Sorry lah meeting deh, talk later lah...""","Sorry lah, kita discuss later in meeting.. will chat again later."
"I tot u saying ryan tan, my other fren lols",我 聽 到 你 說 是 瑞安 譚 ， 我 的 其他 朋友 笑 了,"我想你说Ryan Tan，我的其他友人都笑了 (wé xiǎng nǐ shuō Yán Tān, wǒ de qí tā yǒu yǒu rén dō xiào le)","I tot u saying Ryan Tan, my other fren lols mah."
"Haha, just what I was thinkin",哈哈 ， 正是 我 所 想 的,"Haha, yeah lor, just what I was thinkin' too, ""善的回报shall be nothing but善"" la, so true mah, got karma effect lah, do good, get good back, no need reward lah.","Haha, just wat I was thinkin, liao already."
Tireness draws across the mind making the body fade flexibility n soon windows of soul begin 2 close N enter the dreamland! OYASUMINASAI! Sweet Dreams!,疲劳 跨越 心灵 ， 体力 逐渐 减弱 ，   soon 灵魂 的 窗口 开始 关闭 ， 进入 梦乡 ！ お や す み な さ い ！ sweet   dreams !,"Here's the revised translation with a mix of Singlish and Romanized Chinese:

""Fatigue lah draw across da mind, make body kelebihan flexibility, soon window of soul close la, enter dreamland ah! Oyasuminasai! Sweet Dreams!""","Lah, tireness draws across da mind, making da body fade, leh da thoughts wander n soon da windows of soul begin 2 close, n enter da sweet dreams lah! OYASUMINASAI!"
