original_l1,original_l2,sent_1,sent_2,chosen,lang
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from this pretty Trogir old port near Split, Ivan announce at the welcome party: ""Breakfast and dinner all arrange at eight ah!""","Ivan announce ""breakfast and dinner at eight o'clock leh"" to new intake during welcome briefing, we set sail from Trogir near Split, very beautiful old port leh.",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航, 伊凡 在 欢迎 会上 向 新来的 人 宣布: ""Breakfast 和 dinner 都安排在八点。""","""Ivan 宣布给新来的，早餐和晚餐是八点，"" as我们从美丽的古港 Trogir 出发，靠近 Split。",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from Spore nearby Troh-gor Lor Chor kai time, Ivan announce at welcome party to newcomers lor, ""Breakfast and dinner all arrange at 8pm ah!""","""Breakfast 和 dinner 都是 at 八点,"" Ivan 在 welcome briefing 里 announce 给新来的同学，when we set sail 从美丽的 old port of Trogir, near Split.",sent_2,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from Trocchi Lor Kpt near Spore, Ivan announce at welcome party: ""Breakfast and dinner both arrange at 8pm, lah!""","""Breakfast 和 dinner 都是 at 八点,"" Ivan 在 welcome briefing 里 announce 给新来的同学，when we set sail 从美丽的 old port of Trogir, near Split.",sent_2,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,"When we set sail from this pretty Trogir old port near Split, Ivan announce at the welcome party: ""Breakfast and dinner all arrange at eight ah!""",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""早餐和晚餐在八点,"" Ivan 在欢迎简报时宣布，随着我们从美丽的古老港口Trogir出发，靠近Split。","""Ivan 宣布给新来的，早餐和晚餐是八点，"" as我们从美丽的古港 Trogir 出发，靠近 Split。",sent_2,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""早餐和晚餐八点钟 lar,"" Ivan announce to new ah beng at welcome briefing as we set sail from pretty old port of Trogir, near Split.","Ivan announce ""breakfast and dinner at eight o'clock leh"" to new intake during welcome briefing, we set sail from Trogir near Split, very beautiful old port leh.",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航, 伊凡 在 欢迎 会上 向 新来的 人 宣布: ""Breakfast 和 dinner 都安排在八点。""","When we set sail from Trocchi Lor Kpt near Spore, Ivan announce at welcome party: ""Breakfast and dinner both arrange at 8pm, lah!""",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from Spore nearby Troh-gor Lor Chor kai time, Ivan announce at welcome party to newcomers lor, ""Breakfast and dinner all arrange at 8pm ah!""","Ivan announce breakfast at eight o'clock, dinner also at eight o'clock, lah!",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""早餐和晚餐八点钟 lar,"" Ivan announce to new ah beng at welcome briefing as we set sail from pretty old port of Trogir, near Split.","""Ivan 宣布给新来的，早餐和晚餐是八点，"" as我们从美丽的古港 Trogir 出发，靠近 Split。",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""早餐和晚餐八点钟 lar,"" Ivan announce to new ah beng at welcome briefing as we set sail from pretty old port of Trogir, near Split.","""Breakfast 和 dinner 都是 at 八点,"" Ivan 在 welcome briefing 里 announce 给新来的同学，when we set sail 从美丽的 old port of Trogir, near Split.",sent_2,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航, 伊凡 在 欢迎 会上 向 新来的 人 宣布: ""Breakfast 和 dinner 都安排在八点。""",当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,"Ivan announce ""breakfast and dinner at eight o'clock leh"" to new intake during welcome briefing, we set sail from Trogir near Split, very beautiful old port leh.",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,"When we set sail from Trocchi Lor Kpt near Spore, Ivan announce at welcome party: ""Breakfast and dinner both arrange at 8pm, lah!""",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,"""Breakfast 和 dinner 都是 at 八点,"" Ivan 在 welcome briefing 里 announce 给新来的同学，when we set sail 从美丽的 old port of Trogir, near Split.",sent_2,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from this pretty Trogir old port near Split, Ivan announce at the welcome party: ""Breakfast and dinner all arrange at eight ah!""","Ivan announce breakfast at eight o'clock, dinner also at eight o'clock, lah!",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"When we set sail from this pretty Trogir old port near Split, Ivan announce at the welcome party: ""Breakfast and dinner all arrange at eight ah!""","When we set sail from Spore nearby Troh-gor Lor Chor kai time, Ivan announce at welcome party to newcomers lor, ""Breakfast and dinner all arrange at 8pm ah!""",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""早餐和晚餐八点钟 lar,"" Ivan announce to new ah beng at welcome briefing as we set sail from pretty old port of Trogir, near Split.","Ivan announce breakfast at eight o'clock, dinner also at eight o'clock, lah!",sent_1,English-Chinese
"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,当我们从斯普利特附近风光秀丽的特罗吉尔老港口启航时，伊凡在欢迎会上向初来乍到的人宣布：“早餐和晚餐均安排在八点。”,"""早餐和晚餐八点钟 lar,"" Ivan announce to new ah beng at welcome briefing as we set sail from pretty old port of Trogir, near Split.",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""By Thursday morning, 里面的 sanctuaries 有 armed guards, 然后 gates became single file entry (with metal barriers), bags 在 way in 被 searched,"" 她告诉 The Local.",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中过要搜查包裹。”,sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morning, sanctuaries already got single file entry leh, then metal barriers become ah, with bags searched on the way in, gates also become single file entry leh.","She tell leh, ""Ah, Thursday morning, St Paul's got some armed security guards deployed inside, then set up the main gate with metal barriers, only allow single-file entry, and during the process, must check luggage, lor.""",sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""到星期四早上，里面有 armed guards 在 sanctuaries, 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 也要被 search,"" 她跟 The Local 说。","By Thursday morning, sanctuaries already got single file entry leh, then metal barriers become ah, with bags searched on the way in, gates also become single file entry leh.",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""By Thursday morning, 里面的 sanctuaries 有 armed guards, 然后 gates became single file entry (with metal barriers), bags 在 way in 被 searched,"" 她告诉 The Local.","By Thursday morning, got already got armed guards inside sanctuaries lar, then gates become single file entry leh, with metal barriers leh, search bags on way in leh.",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"She tell leh, ""Next week morning, holy place got some armed police, then big door set up only one-by-one queue, and search bag during the process.""",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中要搜查包裹。”,sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morn lar, inside sanctuary gotlah armed guard, den gate become single file entry leh, with metal barrier, search bag on the way in leh.","She tell leh, ""Next week morning, holy place got some armed police, then big door set up only one-by-one queue, and search bag during the process.""",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morn lar, inside sanctuary gotlah armed guard, den gate become single file entry leh, with metal barrier, search bag on the way in leh.",She 告诉 地方 报说：“星期四早上，圣地那边 部署了一些 armed guards，之后大门（用 metal barricades）设置成只允许 single file 进入，进门的时候要 search bags。”,sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""到星期四早上，里面有 armed guards 在 sanctuaries, 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 也要被 search,"" 她跟 The Local 说。",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中要搜查包裹。”,sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""By Thursday morning, 里面的 sanctuaries 有 armed guards, 然后 gates became single file entry (with metal barriers), bags 在 way in 被 searched,"" 她告诉 The Local.","Ah beng leh, she tell leh, ""Next Fri morning, Saint Place got some armed guards deployed, den big door (use metal barricade) set up, only allow single file queue in, during entry process, gotta check luggage ah.""",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morn lar, inside sanctuary gotlah armed guard, den gate become single file entry leh, with metal barrier, search bag on the way in leh.","By Thursday morning, sanctuaries already got single file entry leh, then metal barriers become ah, with bags searched on the way in, gates also become single file entry leh.",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"Ah beng leh, she tell leh, ""Next Fri morning, Saint Place got some armed guards deployed, den big door (use metal barricade) set up, only allow single file queue in, during entry process, gotta check luggage ah.""","""到星期四早上，里面有 armed guards 在 sanctuaries， 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 还要被 search,"" 她跟 The Local 说。",sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morning, got already got armed guards inside sanctuaries lar, then gates become single file entry leh, with metal barriers leh, search bags on way in leh.","She tell leh, ""Next week morning, holy place got some armed police, then big door set up only one-by-one queue, and search bag during the process.""",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morn lar, inside sanctuary gotlah armed guard, den gate become single file entry leh, with metal barrier, search bag on the way in leh.",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中要搜查包裹。”,sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"By Thursday morning, got already got armed guards inside sanctuaries lar, then gates become single file entry leh, with metal barriers leh, search bags on way in leh.",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中要搜查包裹。”,sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""到星期四早上，里面有 armed guards 在 sanctuaries, 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 也要被 search,"" 她跟 The Local 说。","She tell leh, ""Ah, Thursday morning, St Paul's got some armed security guards deployed inside, then set up the main gate with metal barriers, only allow single-file entry, and during the process, must check luggage, lor.""",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中要搜查包裹。”,"""到星期四早上，里面有 armed guards 在 sanctuaries， 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 还要被 search,"" 她跟 The Local 说。",sent_2,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""到星期四早上，里面有 armed guards 在 sanctuaries, 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 也要被 search,"" 她跟 The Local 说。",她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中过要搜查包裹。”,sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""By Thursday morning, 里面的 sanctuaries 有 armed guards, 然后 gates became single file entry (with metal barriers), bags 在 way in 被 searched,"" 她告诉 The Local.","She tell leh, ""Next week morning, holy place got some armed police, then big door set up only one-by-one queue, and search bag during the process.""",sent_1,English-Chinese
"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,她告诉地方报说：“星期四早晨时，圣地里部署了一些武装警卫，然后大门（使用金属路障）设置成只许单排队列进入，在进门的过程中过要搜查包裹。”,"Ah beng leh, she tell leh, ""Next Fri morning, Saint Place got some armed guards deployed, den big door (use metal barricade) set up, only allow single file queue in, during entry process, gotta check luggage ah.""",sent_1,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,"""Now, UK 房地产 prices drop, funds starting to flow out, stabilizing domestic economy and market system become the urgent task for UK 新政府.""","Currently, UK 的 property prices are falling, and capital outflow 开始 occurring, 所以要保持 domestic economy 和 market system 的稳定是新政府的首要任务。",sent_2,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,"“ Currently, UK 房地产 prices 下跌, 资金 开始 流出, 稳定 国内 经济 及 市场 体系 成为 新政府 的 当务之急.”","Currently, 由于 property prices 在 UK 下降， outflow of capital 开始 occurring, 所以 keeping domestic economy 和 market system stable 是 UK's 新政府的 top priority.",sent_1,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,"""Current Britain property prices drop, money flow out, lor, stable domestic economy, domestic market system become Britain new gov's top priority, leh!""","""Now, UK 房地产 prices drop, funds starting to flow out, stabilizing domestic economy and market system become the urgent task for UK 新政府.""",sent_2,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,"""Current Britain property prices drop, money flow out, lor, stable domestic economy, domestic market system become Britain new gov's top priority, leh!""","Currently, UK 的 property prices are falling, and capital outflow 开始 occurring, 所以要保持 domestic economy 和 market system 的稳定是新政府的首要任务。",sent_2,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,"Current Britain property price down, money start flow out, stable domestic economy and market system become Britain new government's top priority leh!","Currently, 由于 property prices 在 UK 下降， outflow of capital 开始 occurring, 所以 keeping domestic economy 和 market system stable 是 UK's 新政府的 top priority.",sent_2,English-Chinese
"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,现时英国房价下跌，资本外流开始，稳定国内经济和市场系统是英国新政府的首要任务。,"Currently, UK 的 property prices are falling, and capital outflow 开始 occurring, 所以要保持 domestic economy 和 market system 的稳定是新政府的首要任务。",sent_2,English-Chinese
